Name,FQDN,Class,Is Virtual,Location,IP Address,Sub-Environment,Operational Status,Status (install_status),Operating System,OS Version,PCI Designation
10,10.228.144.10,Linux Server,TRUE,,10.18.126.216,PROD,Operational,Installed,InfoBlox,OS,
9050,,Server,FALSE,Woonsocket-1 CVS Drive,,,Operational,Installed,,,
9053,,Server,FALSE,Woonsocket-1 CVS Drive,,,Operational,Installed,,,
9055,,Server,FALSE,Woonsocket-1 CVS Drive,,,Operational,Installed,,,
9472,,Server,FALSE,Woonsocket-1 CVS Drive,,,Operational,Installed,,,
 aigpu-prdlinap25p, aigpu-prdlinap25p.corp.cvscaremark.com,Linux Server,FALSE,,10.20.33.45,,Operational,Installed,,,Not PCI related
 eve-ng-pro6, eve-ng-pro6.corp.cvscaremark.com,Appliance,FALSE,,10.158.53.88,DEV,Operational,Installed,,,Not PCI related
 hlbt-maas-lab-r03-ru27-01,hlbt-maas-lab-r03-ru27-01.aett.aetnat.com,Linux Server,FALSE,,10.102.147.134,Lab,Operational,Installed,Red Hat Enterprise Linux,,Not PCI related
 mid-ibm-a3,mid-ibm-a3.aetna.com,IBM Mainframe,FALSE,,167.69.33.244,PROD,Operational,Installed,,,Not PCI related
 pac2mqrapl10v,pac2mqrapl10v.corp.cvscaremark.com,Linux Server,FALSE,,10.85.22.244,DR,Operational,Installed,,,Not PCI related
 paz1caswnl16v, paz1caswnl16v.corp.cvscaremark.com,Linux Server,FALSE,,10.124.158.139,TEST,Non-Operational,Retired,,,Not PCI related
 paz1eslactp3v,paz1eslactp3v.corp.cvscaremark.com,Linux Server,TRUE,,10.94.70.21,TEST,Non-Operational,Retired,Linux - Red Hat Enterprise Linux,,Not PCI related
 ri-mce-oracle, ri-mce-oracle.corp.cvscaremark.com,Appliance,FALSE,,10.92.6.131,PROD,Non-Operational,Retired,,,PCI Security Tool
 vampaaeppp1v,vampaaeppp1v.aetna.com,Linux Server,TRUE,,10.104.226.141,,Operational,Installed,,,Not PCI related
 vampaaeppp3v,vampaaeppp3v.aetna.com,Linux Server,TRUE,,10.104.244.142,,Operational,Installed,,,Not PCI related
 vawpaaeppp1v,vawpaaeppp1v.aetna.com,Linux Server,TRUE,,10.105.226.141,,Operational,Installed,Avaya Linux,,Not PCI related
 vawpaaeppp2v,vawpaaeppp2v.aetna.com,Linux Server,TRUE,,10.105.228.142,,Operational,Installed,Avaya Linux,,Not PCI related
 vawpaaeppp3v,vawpaaeppp3v.aetna.com,Linux Server,TRUE,,10.105.244.142,,Operational,Installed,,,Not PCI related
 win-ibm-a2,win-ibm-a2.aetna.com,IBM Mainframe,FALSE,,167.69.144.104,PROD,Operational,Installed,,,Not PCI related
 win-ibm-a6,win-ibm-a6.aetna.com,IBM Mainframe,FALSE,,167.69.144.106,PROD,Operational,Installed,,,Not PCI related
 xaceredim01s,xaceredim01s.aeth.aetna.com,Linux Server,FALSE,,10.102.1.38,,Non-Operational,Retired,Linux - Red Hat Enterprise Linux,,Not PCI related
 XCENTRIFM01D,,Linux Server,FALSE,,10.102.1.35,,Non-Operational,Retired,Linux - Red Hat Enterprise Linux,,Not PCI related
 xmcldcpfx01p,"xmcldcpfx01p.aetna,com",Linux Server,FALSE,,10.85.162.117,PROD,Non-Operational,Retired,Linux - Red Hat Enterprise Linux,,Not PCI related
 xmcldepfx15p ,xmcldepfx15p.aetna.com,Linux Server,FALSE,,10.85.35.227,PROD,Non-Operational,Retired,,,Not PCI related
 xsrxdbw01q,xsrxdbw01q.aetna.com,Linux Server,FALSE,,157.121.25.52,QA,Operational,Installed,,,Not PCI related
 xwssverdexm07d,xwssverdexm07d.aetna.com,Linux Server,FALSE,,157.121.33.13,,Non-Operational,Retired,Linux - Red Hat Enterprise Linux,,Not PCI related
02CC088 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC098 - z17 Mainframe,,Server,FALSE,Windsor-570 Pigeon Hill Data Ctr,,,Operational,In Stock,,,
02CC0A8 - z17 Mainframe,,Server,FALSE,Windsor-570 Pigeon Hill Data Ctr,,,Operational,In Stock,,,
02CC0B8 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC2D8 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC2E8 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC2F8 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC308 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC318 - z17 Mainframe,,Server,FALSE,Middletown-Middle St Data Center,,,Operational,In Stock,,,
02CC5E8 - z17 Mainframe,,Server,FALSE,Windsor-570 Pigeon Hill Data Ctr,,,Operational,In Stock,,,
02CC608 - z17 Mainframe,,Server,FALSE,Windsor-570 Pigeon Hill Data Ctr,,,Operational,In Stock,,,
02CC618 - z17 Mainframe,,Server,FALSE,Windsor-570 Pigeon Hill Data Ctr,,,Operational,In Stock,,,
0520391732 - ACS 8000,,Server,FALSE,297 State Street - Suite: CVS,,,Operational,In Stock,,,
0520391812 - ACS 8000,,Server,FALSE,297 State Street - Suite: CVS,,,Operational,In Stock,,,
0520484511 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520484512 - ACS8000 Console Server,,Server,FALSE,"5660 W. Badura Ave Las Vegas NV, 89118",,,Operational,In Stock,,,
0520484522 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520484525 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520484528 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520484530 - ACS8000 Console Server,,Server,FALSE,"5660 W. Badura Ave Las Vegas NV, 89118",,,Operational,In Stock,,,
0520484538 - ACS8000 Console Server,,Server,FALSE,"5660 W. Badura Ave Las Vegas NV, 89118",,,Operational,In Stock,,,
0520503534 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520503545 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520503547 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520503556 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520503665 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
0520503667 - ACS8000 Console Server,,Server,FALSE,"1 Switch Way Lithia Springs GA, 30122",,,Operational,In Stock,,,
06BPGWX - BladeCenter HS23,,Server,FALSE,2843 West Charter Street - Delivery Door 236,,,Operational,In Stock,,,
06RCX28 - BladeCenter HS12,,Server,FALSE,,,,Operational,Retired,,,
07IG05006055 - S8500C Media Server,,Server,FALSE,2843 West Charter Street - Delivery Door 236,,,Operational,In Stock,,,
0bb3b448-9d23-4118-9df1-6116eddcaa3e aks-pbm-pcfaks-poc-use2,,Kubernetes Cluster,FALSE,,,,Retired,Retired,,,
10.102.113.225,10.102.113.225,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.113.225,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.113.235,10.102.113.235,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.113.235,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.114.225,10.102.114.225,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.114.225,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.114.235,10.102.114.235,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.114.235,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.33.225,10.102.33.225,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.33.225,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.33.235,10.102.33.235,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.33.235,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.34.225,10.102.34.225,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.34.225,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.102.34.235,10.102.34.235,ESX Server,TRUE,Windsor-570 Pigeon Hill Data Ctr,10.102.34.235,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.101.58,10.124.101.58,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.101.58,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.101.60,10.124.101.60,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.101.60,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.101.64,10.124.101.64,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.101.64,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.101.66,10.124.101.66,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.101.66,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.176.231,10.124.176.231,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.231,PROD,Operational,Installed,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.232,10.124.176.232,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.232,PROD,Operational,Installed,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.233,10.124.176.233,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.233,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.234,10.124.176.234,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.234,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.235,10.124.176.235,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.235,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.236,10.124.176.236,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.236,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.243,10.124.176.243,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.243,PROD,Operational,Installed,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.244,10.124.176.244,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.244,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.245,10.124.176.245,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.245,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.246,10.124.176.246,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.246,PROD,Operational,Installed,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.247,10.124.176.247,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.247,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.248,10.124.176.248,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.248,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.249,10.124.176.249,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.249,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.176.250,10.124.176.250,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.176.250,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.209.228,10.124.209.228,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.209.228,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.209.229,10.124.209.229,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.209.229,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.209.230,10.124.209.230,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.209.230,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.209.238,10.124.209.238,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.209.238,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.209.239,10.124.209.239,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.209.239,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.209.240,10.124.209.240,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.209.240,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.210.225,10.124.210.225,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.210.225,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.210.226,10.124.210.226,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.210.226,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.210.227,10.124.210.227,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.210.227,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.210.235,10.124.210.235,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.210.235,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.210.236,10.124.210.236,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.210.236,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.210.237,10.124.210.237,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.210.237,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.23.158,10.124.23.158,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.158,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.159,10.124.23.159,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.159,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.160,10.124.23.160,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.160,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.161,10.124.23.161,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.161,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.162,10.124.23.162,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.162,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.163,10.124.23.163,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.163,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
