apm_id,application_acronym,enterprise_heritage,application_name,application_environment,competitively_sensitive,risk_tier,fqdn,server_designation,server_site,ip_address
APM0013450,Healthagen,AETNA,CVS Health Clinical Trial,poc,No,Low Risk,pgc1heaadl10v.corp.cvscaremark.com,Not PCI Related,,10.157.31.162
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,plnpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.151.6
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,phxpsecgarcap01.aeth.aetna.com,Not PCI related,,10.130.142.10
